day,total_healthy,total_infected,total_incubating,total_deceased,total_healed,infected_today,deceased_today,recovered_today
0,9999,1,0,0,0,0,0,0
1,9999,1,0,0,0,0,0,0
2,9999,1,0,0,0,0,0,0
3,9999,1,0,0,0,0,0,0
4,9999,1,0,0,0,0,0,0
5,9999,1,0,0,0,0,0,0
6,9999,1,0,0,0,0,0,0
7,9999,1,0,0,0,0,0,0
8,9999,1,0,0,0,0,0,0
9,9999,1,0,0,0,0,0,0
10,9999,1,0,0,0,0,0,0
11,9999,1,0,0,0,0,0,0
12,9999,0,0,0,1,0,0,1
13,9999,0,0,0,1,0,0,0
14,9999,0,0,0,1,0,0,0
15,9999,0,0,0,1,0,0,0
16,9999,0,0,0,1,0,0,0
17,9999,0,0,0,1,0,0,0
18,9999,0,0,0,1,0,0,0
19,9999,0,0,0,1,0,0,0
20,9999,0,0,0,1,0,0,0
21,9999,0,0,0,1,0,0,0
22,9999,0,0,0,1,0,0,0
23,9999,0,0,0,1,0,0,0
24,9999,0,0,0,1,0,0,0
25,9999,0,0,0,1,0,0,0
26,9999,0,0,0,1,0,0,0
27,9999,0,0,0,1,0,0,0
28,9999,0,0,0,1,0,0,0
29,9999,0,0,0,1,0,0,0
30,9999,0,0,0,1,0,0,0
31,9999,0,0,0,1,0,0,0
32,9999,0,0,0,1,0,0,0
33,9999,0,0,0,1,0,0,0
34,9999,0,0,0,1,0,0,0
35,9999,0,0,0,1,0,0,0
36,9999,0,0,0,1,0,0,0
37,9999,0,0,0,1,0,0,0
38,9999,0,0,0,1,0,0,0
39,9999,0,0,0,1,0,0,0
40,9999,0,0,0,1,0,0,0
41,9999,0,0,0,1,0,0,0
42,9999,0,0,0,1,0,0,0
43,9999,0,0,0,1,0,0,0
44,9999,0,0,0,1,0,0,0
45,9999,0,0,0,1,0,0,0
46,9999,0,0,0,1,0,0,0
47,9999,0,0,0,1,0,0,0
48,9999,0,0,0,1,0,0,0
49,9999,0,0,0,1,0,0,0
50,9999,0,0,0,1,0,0,0
51,9999,0,0,0,1,0,0,0
52,9999,0,0,0,1,0,0,0
53,9999,0,0,0,1,0,0,0
54,9999,0,0,0,1,0,0,0
55,9999,0,0,0,1,0,0,0
56,9999,0,0,0,1,0,0,0
57,9999,0,0,0,1,0,0,0
58,9999,0,0,0,1,0,0,0
59,9999,0,0,0,1,0,0,0
60,9999,0,0,0,1,0,0,0
61,9999,0,0,0,1,0,0,0
62,9999,0,0,0,1,0,0,0
63,9999,0,0,0,1,0,0,0
64,9999,0,0,0,1,0,0,0
65,9999,0,0,0,1,0,0,0
66,9999,0,0,0,1,0,0,0
67,9999,0,0,0,1,0,0,0
68,9999,0,0,0,1,0,0,0
69,9999,0,0,0,1,0,0,0
70,9999,0,0,0,1,0,0,0
71,9999,0,0,0,1,0,0,0
72,9999,0,0,0,1,0,0,0
73,9999,0,0,0,1,0,0,0
74,9999,0,0,0,1,0,0,0
75,9999,0,0,0,1,0,0,0
76,9999,0,0,0,1,0,0,0
77,9999,0,0,0,1,0,0,0
78,9999,0,0,0,1,0,0,0
79,9999,0,0,0,1,0,0,0
80,9999,0,0,0,1,0,0,0
81,9999,0,0,0,1,0,0,0
82,9999,0,0,0,1,0,0,0
83,9999,0,0,0,1,0,0,0
84,9999,0,0,0,1,0,0,0
85,9999,0,0,0,1,0,0,0
86,9999,0,0,0,1,0,0,0
87,9999,0,0,0,1,0,0,0
88,9999,0,0,0,1,0,0,0
89,9999,0,0,0,1,0,0,0
90,9999,0,0,0,1,0,0,0
91,9999,0,0,0,1,0,0,0
92,9999,0,0,0,1,0,0,0
93,9999,0,0,0,1,0,0,0
94,9999,0,0,0,1,0,0,0
95,9999,0,0,0,1,0,0,0
96,9999,0,0,0,1,0,0,0
97,9999,0,0,0,1,0,0,0
98,9999,0,0,0,1,0,0,0
99,9999,0,0,0,1,0,0,0
100,9999,0,0,0,1,0,0,0
101,9999,0,0,0,1,0,0,0
102,9999,0,0,0,1,0,0,0
103,9999,0,0,0,1,0,0,0
104,9999,0,0,0,1,0,0,0
105,9999,0,0,0,1,0,0,0
106,9999,0,0,0,1,0,0,0
107,9999,0,0,0,1,0,0,0
108,9999,0,0,0,1,0,0,0
109,9999,0,0,0,1,0,0,0
110,9999,0,0,0,1,0,0,0
111,9999,0,0,0,1,0,0,0
112,9999,0,0,0,1,0,0,0
113,9999,0,0,0,1,0,0,0
114,9999,0,0,0,1,0,0,0
115,9999,0,0,0,1,0,0,0
116,9999,0,0,0,1,0,0,0
117,9999,0,0,0,1,0,0,0
118,9999,0,0,0,1,0,0,0
119,9999,0,0,0,1,0,0,0
120,9999,0,0,0,1,0,0,0
121,9999,0,0,0,1,0,0,0
122,9999,0,0,0,1,0,0,0
123,9999,0,0,0,1,0,0,0
124,9999,0,0,0,1,0,0,0
125,9999,0,0,0,1,0,0,0
126,9999,0,0,0,1,0,0,0
127,9999,0,0,0,1,0,0,0
128,9999,0,0,0,1,0,0,0
129,9999,0,0,0,1,0,0,0
130,9999,0,0,0,1,0,0,0
131,9999,0,0,0,1,0,0,0
132,9999,0,0,0,1,0,0,0
133,9999,0,0,0,1,0,0,0
134,9999,0,0,0,1,0,0,0
135,9999,0,0,0,1,0,0,0
136,9999,0,0,0,1,0,0,0
137,9999,0,0,0,1,0,0,0
138,9999,0,0,0,1,0,0,0
139,9999,0,0,0,1,0,0,0
140,9999,0,0,0,1,0,0,0
141,9999,0,0,0,1,0,0,0
142,9999,0,0,0,1,0,0,0
143,9999,0,0,0,1,0,0,0
144,9999,0,0,0,1,0,0,0
145,9999,0,0,0,1,0,0,0
146,9999,0,0,0,1,0,0,0
147,9999,0,0,0,1,0,0,0
148,9999,0,0,0,1,0,0,0
149,9999,0,0,0,1,0,0,0
150,9999,0,0,0,1,0,0,0
151,9999,0,0,0,1,0,0,0
152,9999,0,0,0,1,0,0,0
153,9999,0,0,0,1,0,0,0
154,9999,0,0,0,1,0,0,0
155,9999,0,0,0,1,0,0,0
156,9999,0,0,0,1,0,0,0
157,9999,0,0,0,1,0,0,0
158,9999,0,0,0,1,0,0,0
159,9999,0,0,0,1,0,0,0
160,9999,0,0,0,1,0,0,0
161,9999,0,0,0,1,0,0,0
162,9999,0,0,0,1,0,0,0
163,9999,0,0,0,1,0,0,0
164,9999,0,0,0,1,0,0,0
165,9999,0,0,0,1,0,0,0
166,9999,0,0,0,1,0,0,0
167,9999,0,0,0,1,0,0,0
168,9999,0,0,0,1,0,0,0
169,9999,0,0,0,1,0,0,0
170,9999,0,0,0,1,0,0,0
171,9999,0,0,0,1,0,0,0
172,9999,0,0,0,1,0,0,0
173,9999,0,0,0,1,0,0,0
174,9999,0,0,0,1,0,0,0
175,9999,0,0,0,1,0,0,0
176,9999,0,0,0,1,0,0,0
177,9999,0,0,0,1,0,0,0
178,9999,0,0,0,1,0,0,0
179,9999,0,0,0,1,0,0,0
180,9999,0,0,0,1,0,0,0
181,9999,0,0,0,1,0,0,0
182,9999,0,0,0,1,0,0,0
183,9999,0,0,0,1,0,0,0
184,9999,0,0,0,1,0,0,0
185,9999,0,0,0,1,0,0,0
186,9999,0,0,0,1,0,0,0
187,9999,0,0,0,1,0,0,0
188,9999,0,0,0,1,0,0,0
189,9999,0,0,0,1,0,0,0
190,9999,0,0,0,1,0,0,0
191,9999,0,0,0,1,0,0,0
192,9999,0,0,0,1,0,0,0
193,9999,0,0,0,1,0,0,0
194,9999,0,0,0,1,0,0,0
195,9999,0,0,0,1,0,0,0
196,9999,0,0,0,1,0,0,0
197,9999,0,0,0,1,0,0,0
198,9999,0,0,0,1,0,0,0
199,9999,0,0,0,1,0,0,0
200,9999,0,0,0,1,0,0,0
