day,total_healthy,total_infected,total_incubating,total_deceased,total_healed,infected_today,deceased_today,recovered_today
0,495,5,0,0,0,0,0,0
1,494,5,1,0,0,1,0,0
2,493,5,2,0,0,1,0,0
3,493,5,2,0,0,0,0,0
4,492,6,2,0,0,1,0,0
5,491,7,2,0,0,1,0,0
6,488,7,5,0,0,3,0,0
7,486,8,6,0,0,2,0,0
8,483,9,8,0,0,3,0,0
9,481,12,7,0,0,2,0,0
10,477,14,9,0,0,4,0,0
11,475,17,8,0,0,2,0,0
12,466,14,15,0,5,9,0,5
13,464,18,13,0,5,2,0,0
14,461,20,14,0,5,3,0,0
15,459,29,7,0,5,2,0,0
16,455,30,9,0,5,4,1,0
17,450,32,11,0,6,5,0,1
18,447,32,12,0,7,3,1,1
19,443,36,12,0,7,4,0,0
20,437,40,13,0,8,6,0,1
21,431,42,16,0,9,6,0,1
22,424,43,19,0,12,7,0,3
23,417,47,20,0,14,7,0,2
24,414,50,17,0,17,3,0,3
25,411,56,13,0,18,3,0,1
26,406,58,11,0,22,5,1,4
27,399,59,15,0,24,7,0,2
28,394,53,17,0,32,5,1,8
29,391,56,15,0,34,3,0,2
30,384,61,15,0,36,7,0,2
31,376,64,18,0,38,8,0,2
